Latitude,Longitude,TotalPop
40.5161809045,-74.2293467337,6408.0
40.5161809045,-74.2261809045,6408.0
40.5161809045,-74.2230150754,6690.0
40.5161809045,-74.2198492462,6690.0
40.5161809045,-74.2166834171,6690.0
40.5161809045,-74.2135175879,6690.0
40.5161809045,-74.2103517588,6690.0
40.5161809045,-74.2071859296,6690.0
40.5161809045,-74.2040201005,6690.0
40.5161809045,-74.2008542714,6690.0
40.5161809045,-74.1976884422,6690.0
40.5161809045,-74.1945226131,6690.0
40.5161809045,-74.1913567839,6690.0
40.5161809045,-74.18819095479999,6690.0
40.5161809045,-74.1850251256,6690.0
40.5161809045,-74.1818592965,6690.0
40.5161809045,-74.1786934673,6690.0
40.5161809045,-74.1755276382,4980.0
40.5161809045,-74.172361809,4980.0
40.5161809045,-74.1691959799,4980.0
40.5161809045,-74.1660301508,4980.0
40.5161809045,-74.1628643216,4980.0
40.5161809045,-74.1596984925,4980.0
40.5184422111,-74.2483417085,4908.0
40.5184422111,-74.2451758794,4908.0
40.5184422111,-74.2420100503,4908.0
40.5184422111,-74.2388442211,4908.0
40.5184422111,-74.235678392,4908.0
40.5184422111,-74.2325125628,4908.0
40.5184422111,-74.2293467337,6408.0
40.5184422111,-74.2261809045,6690.0
40.5184422111,-74.2230150754,9032.0
40.5184422111,-74.2198492462,6690.0
40.5184422111,-74.2166834171,6690.0
40.5184422111,-74.2135175879,6690.0
40.5184422111,-74.2103517588,6690.0
40.5184422111,-74.2071859296,6690.0
40.5184422111,-74.2040201005,6690.0
40.5184422111,-74.2008542714,6690.0
40.5184422111,-74.1976884422,6690.0
40.5184422111,-74.1945226131,6690.0
40.5184422111,-74.1913567839,6690.0
40.5184422111,-74.18819095479999,6690.0
40.5184422111,-74.1850251256,6690.0
40.5184422111,-74.1818592965,6690.0
40.5184422111,-74.1786934673,6690.0
40.5184422111,-74.1755276382,4980.0
40.5184422111,-74.172361809,4980.0
40.5184422111,-74.1691959799,4980.0
40.5184422111,-74.1660301508,4980.0
40.5184422111,-74.1628643216,4980.0
40.5184422111,-74.1596984925,4980.0
40.5184422111,-74.1565326633,4980.0
40.520703517600005,-74.2451758794,4908.0
40.520703517600005,-74.2420100503,4908.0
40.520703517600005,-74.2388442211,4908.0
40.520703517600005,-74.235678392,4908.0
40.520703517600005,-74.2325125628,4908.0
40.520703517600005,-74.2293467337,9032.0
40.520703517600005,-74.2261809045,9032.0
40.520703517600005,-74.2230150754,9032.0
40.520703517600005,-74.2198492462,9032.0
40.520703517600005,-74.2166834171,6690.0
40.520703517600005,-74.2135175879,6690.0
40.520703517600005,-74.2103517588,6690.0
40.520703517600005,-74.2071859296,6690.0
40.520703517600005,-74.2040201005,6690.0
40.520703517600005,-74.2008542714,6690.0
40.520703517600005,-74.1976884422,6690.0
40.520703517600005,-74.1945226131,6690.0
40.520703517600005,-74.1913567839,6690.0
40.520703517600005,-74.18819095479999,6690.0
40.520703517600005,-74.1850251256,6690.0
40.520703517600005,-74.1818592965,6690.0
40.520703517600005,-74.1786934673,6690.0
40.520703517600005,-74.1755276382,4980.0
40.520703517600005,-74.172361809,4980.0
40.520703517600005,-74.1691959799,4980.0
40.520703517600005,-74.1660301508,4980.0
40.520703517600005,-74.1628643216,4980.0
40.520703517600005,-74.1596984925,4980.0
40.520703517600005,-74.1565326633,4980.0
40.520703517600005,-74.1533668342,4596.0
40.520703517600005,-74.150201005,4596.0
40.5229648241,-74.2451758794,4908.0
40.5229648241,-74.2420100503,4908.0
